link,image,name,group,description,delivery,janki,price
https://www.ikea.com/pl/pl/p/-10270478,https://www.ikea.com/pl/pl/images/products/pokal-szklanka-szklo-bezbarwne__0713251_pe729361_s3.jpg,POKAL ,Gotowanie i zastawa stołowa,"Szklanka, szkło bezbarwne, ",False,False,3.29
https://www.ikea.com/pl/pl/p/-s69277840,https://www.ikea.com/pl/pl/images/products/komplement-wklad-do-wysuwanej-tacy-jasnoszary__0617421_pe687943_s3.jpg,KOMPLEMENT ,Przechowywanie i organizacja,"Wkład do wysuwanej tacy, jasnoszary, ",True,True,130.0
